,index,Avg_sent,Descriptors,Freq
286,saturday,1.0,interview,21
287,officers,0.8846153846153846,"liable ,liable ,liable ,liable ,conducting ,give ,give ,comes ,comes ,visiting",21
288,sian,0.8617021276595744,"confirm ,confirm ,removed ,implemented ,got ,mean ,it ,go ,far ,seems ,thank ,he ,failed ,fail",21
289,kena,0.8596491228070176,"you ,called ,i ,commandos ,you ,guards ,u ,people ,things",21
291,note,0.8571428571428571,"take ,quoting ,quoting ,take ,take ,servicepay ,take ,take ,take ,take ,take ,taken ,take ,take ,told ,bring ,do",21
292,nothing,0.8549618320610687,"happen ,did ,did ,happens ,do ,do ,do ,happens ,have ,happens ,had ,change ,happens ,changed ,making ,happen ,are ,slack ,has ,have",21
293,term,0.88,"familiar ,familiar ,ooc ,do ,specialise ,do ,specialise ,is ,easier ,easier",21
294,enlistment,0.8387096774193549,"had ,is ,is ,delay ,anyone ,get",20
295,show,0.8622754491017964,"window ,you ,face ,you ,face ,need ,booking ,ibook ,ippt ,rt ,booking ,notification ,notification ,dates ,you ,proof ,you ,true ,system ,session ,icon ,slot ,info ,way",20
296,default,0.8492063492063492,"i ,cycles ,i ,result ,fine ,result ,fine ,result ,fine ,u ,i ,avoid ,you ,consists ,prevent ,avoid ,avoid ,who ,you ,attempted",20
297,resume,0.8770053475935828,"training ,ippt ,meh ,nsmen ,activities ,ippt ,activities ,ippt ,iptrt ,iptrt ,activities ,saf ,ipt ,information ,they ,iptippt ,they ,iptippt ,havent ,it ,they ,pmsession ,they ,pmsession",20
298,payable,0.8819444444444444,"ipts ,ipt ,servicepay ,sessions ,ipt ,sessions ,rt ,ipt ,all ,ippt ,compulsoryattendance ,questionipt ,corrections ,it ,it ,ippt ,ippt ,sessions",20
299,mention,0.8551724137931035,"you ,you ,session ,u ,correctname ,version ,encik ,they ,st ,person ,he ,resume ,he ,resume ,admin ,they ,tue ,track ,oc ,things ,amount ,soldier",20
301,friends,0.8681318681318682,"place ,cancelled ,there ,join ,join ,advicing ,ask ,make ,make ,make ,have ,describes ,make",20
302,bro,0.8888888888888888,"correcting ,take ,call ,reglur ,scdf",20
304,standard,0.8604651162790697,"better ,better ,meet ,pu ,meet ,pu ,contact",20
305,problem,0.8555555555555555,"do ,time ,that ,this ,be ,highlight ,highlight ,facing ,solve ,go ,know ,have ,last ,tahan",20
306,orns,0.9,"do ,completing ,do ,completing",20
307,everyone,0.84375,"has ,have ,confuses ,tell ,love ,tell ,love ,goes ,says ,has ,is",19
308,sign,0.8807339449541285,"see ,attendencelist ,attendancelist ,attendencelist ,attendancelist ,i ,i ,officer ,i ,i ,i ,i ,contract ,pes",19
309,chiong,0.8409090909090909,"secs ,work ,me ,sessions ,ipts ,rt ,go ,nice",19
310,men,0.8636363636363636,"get ,join ,assist ,treat ,trust ,trust ,need",19
311,tag,0.8648648648648649,"green ,green ,green ,got ,want ,have ,have ,available ,remove ,remove ,remove ,remove ,remove ,remove ,remove ,remove ,remove ,got ,buibui ,join ,it",19
312,reply,0.8661971830985915,"got ,they ,question ,they ,giving ,release ,is ,considered ,considered ,tbh ,considered ,tbh ,considered ,it ,gave ,it ,gave ,got ,make ,helps",19
313,safe,0.7857142857142857,"you ,i ,i ,you",19
314,manual,0.8636363636363636,"sat ,using ,using ,uses ,safra ,safra ,using",19
315,guess,0.7301587301587301,"i ,i ,i ,is ,able ,is ,i ,falls ,i ,do ,do ,i ,i ,i ,i ,i ,i ,i",19
316,gym,0.8292682926829268,"got ,name ,go ,use ,got ,change ,use ,use",19
317,results,0.87,"update ,session ,session ,count ,count ,keep ,have ,take ,cui ,send ,share ,improve ,come ,receiving",19
318,home,1.0,is,18
319,fitness,0.8993288590604027,"wants ,promote ,integrate ,promote ,integrate ,promote ,integrate ,promote ,integrate ,promote ,integrate ,promote ,integrate ,there ,maintain ,built",18
320,issues,0.8585858585858586,"have ,have ,mitigate ,forsee ,address ,address ,are ,are ,have ,is ,gain ,take ,have ,takes ,having",18
321,news,0.8214285714285714,"was ,out ,leak ,is ,is ,said",18
