entity,Avg_sent_singlish,Avg_sent_no singlish
BMT,1.0,1.0
CAMP,1.0,1.0
CARDINAL,1.1666666666666667,1.0
DATE,0.9128205128205128,0.9794871794871794
FCC,1.0,1.0
GPE,1.0,1.0
ICT,1.0,1.0
IPPT,0.8565891472868218,0.9302325581395349
MEDICAL,0.8333333333333334,1.0
NORP,1.0625,1.0625
ORDINAL,0.9696969696969696,1.0
ORG,0.9340659340659341,1.0
PERSON,1.0,1.0
PORTAL,1.0,1.0
RT/IPT,1.1818181818181819,1.1818181818181819
SERVICE,1.0,1.0
TIME,1.0,1.0
TRAINING,1.0,1.0
