,index,Descriptors_singlish,Freq_singlish,Avg_sent_singlish,Avg_sent_no singlish
366,jcgrade,grades,1,1.0,1.0
367,half,weeks,1,1.0,1.0
368,v,good,1,2.0,2.0
369,mid,https,1,1.0,1.0
370,jokingly,"also ,tekan",1,0.75,1.0
371,sia,remember,1,1.0,1.0
372,oot,posting,1,1.0,1.0
373,d,activated,1,1.0,1.0
374,applies,"manning ,unfortunately",1,0.5,0.5
375,unfortunately,applies,1,1.0,1.0
376,mob,manning,1,1.0,1.0
377,jcbatch,13,1,1.0,1.0
378,poly,batch,1,1.0,1.0
379,exact,location,1,1.0,1.0
380,distance,"still ,walking ,though",1,1.0,1.0
381,lockers,enough,1,1.0,1.0
382,anyway,abuse,1,0.0,0.0
383,ripsia,siayeah,1,1.0,1.0
384,stupid,mindef_saf,1,1.0,1.0
385,think,confused,1,1.0,1.0
386,confused,"quite ,think",1,1.0,1.0
387,plan,"also ,take",1,0.6666666666666666,1.0
388,available,slots,1,1.0,1.0
389,mindeffb,posts,1,1.0,1.0
390,look,take,1,0.3333333333333333,1.0
391,stations,static,1,0.0,0.0
392,static,stations,1,1.0,1.0
393,route,"ippt ,easier",1,1.0,1.0
394,try,"want ,fcc",1,1.0,1.0
395,heng,passed,1,1.0,1.0
396,tekan,"jokingly ,guy",1,1.0,1.0
397,siayeah,ripsia,1,1.0,1.0
398,pop,"coy ,already ,ago",1,1.0,1.0
399,poor,recruit,1,1.0,1.0
400,coy,pop,1,1.0,1.0
401,hospilization,leave,1,0.0,0.0
402,intake,next,1,1.0,1.0
403,vocations,put,1,0.0,1.0
404,palms,sweaty,1,1.0,1.0
405,sweaty,palms,1,1.0,1.0
406,correctly,rmb,1,1.0,1.0
407,etc,xiong,1,1.0,1.0
408,stay,become,1,1.0,1.0
409,mp,become,1,1.0,1.0
410,mpcommander,new,1,1.0,2.0
411,bay,marina,1,1.0,1.0
412,penny,spent,1,1.0,1.0
413,chronic,skincondition,1,1.0,1.0
414,fine,"generally ,govt",1,1.0,1.0
415,govt,fine,1,2.0,2.0
416,generally,fine,1,2.0,2.0
